year,month,value
2006,10,0.00038092
2006,11,0.00038078166666666665
2006,12,0.00038116599999999995
2007,2,0.00038104
2007,3,0.00038062500000000005
2007,4,0.00038108875
2007,5,0.00038112875
2007,6,0.00038213
2007,7,0.0003823225
2007,8,0.00038199625000000004
2007,9,0.0003823325
2008,3,0.000382845
2008,4,0.00038268
2008,5,0.00038299
2008,6,0.00038359
2008,7,0.000384805
2008,8,0.00038396999999999997
2008,9,0.00038469666666666666
2008,10,0.00038530125
2008,11,0.00038618
2008,12,0.0003855416666666667
2009,1,0.00038555874999999997
2009,2,0.00038462999999999995
2009,3,0.00038551099999999995
2009,4,0.00038675666666666673
2009,5,0.00038546375
2009,6,0.00038513625000000004
2009,7,0.00038825833333333337
2009,8,0.00038610299999999995
2009,9,0.00038633625
2009,10,0.00038588500000000004
2009,11,0.0003867225
2009,12,0.00038665
2010,1,0.00038680750000000003
year,month,value
1985,6,0.00034997166666666667
1985,7,0.00034380500000000003
1985,8,0.00033747
1985,9,0.000339056
1985,10,0.0003436616666666667
1985,11,0.00034598833333333336
1985,12,0.00034973000000000003
1986,1,0.0003514075
1986,2,0.00035157499999999997
1986,3,0.00035273875000000005
1986,4,0.0003540878873239437
1986,5,0.00035361
1986,6,0.00035093749999999996
1986,7,0.00034567625000000003
1986,8,0.00034050000000000004
1986,9,0.00033935166666666664
1986,10,0.000345825
1986,11,0.00034837333333333334
1986,12,0.0003495960000000001
1987,1,0.00035104166666666666
1987,2,0.0003524175
1987,3,0.0003536225
1987,4,0.00035381
1987,5,0.00035463249999999997
1987,6,0.000352602
1987,7,0.00034923833333333335
1987,8,0.00034021249999999996
1987,9,0.00034147125
1987,10,0.0003470675
1987,11,0.00035011199999999997
1987,12,0.0003529675
1988,1,0.00035421624999999995
1988,2,0.00035579000000000003
1988,3,0.0003566216666666667
1988,4,0.00035758
1988,5,0.00035729
1988,6,0.0003549525
1988,7,0.00034962125
1988,8,0.000345054
1988,9,0.0003452225
1988,10,0.00035081375
1988,11,0.0003545075
1988,12,0.0003573
1989,1,0.000357335
1989,2,0.00035956
1989,3,0.00036039000000000004
1989,4,0.00035946
