time, co2_dry
2012-11-30,391.62189086565456
2012-12-31,392.4919316297622
2013-01-31,393.7120958799216
2013-02-28,394.97712059493057
2013-03-31,395.6361210610918
2013-04-30,396.60974664387913
2013-05-31,397.815953426053
2013-06-30,396.7648794214083
2013-07-31,394.90597420085135
2013-08-31,392.7335560673823
2013-09-30,391.3262894642126
2013-10-31,391.6812954296848
2013-11-30,393.2867681243802
2013-12-31,394.87942415076947
2014-01-31,395.91378945812886
2014-02-28,396.0789185163646
2014-03-31,398.02231535049634
2014-04-30,399.35717908628715
2014-05-31,399.6465770638649
2014-06-30,398.9383828025818
2014-07-31,396.66980542704147
2014-08-31,394.42113582479044
2014-09-30,393.101106733272
2014-10-31,393.8825976836807
2014-11-30,395.23874677374914
2014-12-31,396.8811703768972
2015-01-31,397.8976990647696
2015-02-28,398.35659457473787
2015-03-31,399.6176796706006
2015-04-30,401.2045564477944
2015-05-31,401.92465947861336
2015-06-30,400.5497042217579
2015-07-31,398.4246641830726
2015-08-31,396.57014510427126
2015-09-30,395.191053160758
2015-10-31,395.9390062652834
2015-11-30,398.1227319526288
2015-12-31,399.8270186908171
2016-01-31,400.5843318865378
2016-02-29,402.0141963715271
2016-03-31,403.1175182064208
2016-04-30,405.33158022199405
2016-05-31,405.5816296445995
2016-06-30,403.72163015163574
2016-07-31,402.0069118445427
2016-08-31,399.6351959487837
2016-09-30,398.21135509545053
2016-10-31,399.0538009505877
2016-11-30,401.2552727152657
2016-12-31,402.2947739310793
2017-01-31,403.66248406287616
2017-02-28,404.1003314475557
2017-03-31,404.7615105312231
2017-04-30,406.47641294554495
2017-05-31,407.1378146019727
2017-06-30,406.2307754509925
2017-07-31,404.3575599292639
2017-08-31,402.2345302264458
2017-09-30,400.4648692338059
2017-10-31,401.1665858157172
2017-11-30,402.87075714586666
2017-12-31,404.3368643675729
2018-01-31,405.42026634317676
2018-02-28,405.90389629160086
2018-03-31,406.85800147699086
2018-04-30,407.79716125141994
2018-05-31,408.6037954959924
2018-06-30,408.23849797440977
2018-07-31,405.8086136598564
2018-08-31,404.2780254392044
2018-09-30,402.6219841593783
2018-10-31,403.16928960578724
2018-11-30,405.2238043549917
2018-12-31,406.6450896412076
2019-01-31,408.295303196159
2019-02-28,409.1268943550726
2019-03-31,409.5142865155926
2019-04-30,410.60180036804763
2019-05-31,411.8129848360708
2019-06-30,410.94307075161396
2019-07-31,408.8191631098136
2019-08-31,406.93838385346663
2019-09-30,405.361750750948
2019-10-31,405.74799686902367
2019-11-30,407.346162482389
2019-12-31,409.1905436955007
2020-01-31,410.6201020899411
2020-02-29,411.584831844429
2020-03-31,411.96718981629067
2020-04-30,413.3595846539902
2020-05-31,414.01730746340746
2020-06-30,413.37511847910105
2020-07-31,411.4441205880121
2020-08-31,409.4212782553871
2020-09-30,408.25846899903604
2020-10-31,408.43976007866445
2020-11-30,410.2806174712237
2020-12-31,411.36014747038394
2021-01-31,412.45686100575927
